[2013-06-06 11:21:26,668]	Executing job: DEFAULT.TestJob1 executing at Thu Jun 06 11:21:26 CST 2013, fired by: DEFAULT.TestSimpleTrigger1AtFiveSecondInterval
[2013-06-06 11:21:26,668]	Job DEFAULT.TestJob1 execution complete at  11:21:26 06/06/2013 and reports: hello
[2013-06-06 11:21:31,667]	Job DEFAULT.TestJob1 fired (by trigger DEFAULT.TestSimpleTrigger1AtFiveSecondInterval) at:  11:21:31 06/06/2013
[2013-06-06 11:21:31,668]	Executing job: DEFAULT.TestJob1 executing at Thu Jun 06 11:21:31 CST 2013, fired by: DEFAULT.TestSimpleTrigger1AtFiveSecondInterval
[2013-06-06 11:21:31,668]	Job DEFAULT.TestJob1 execution complete at  11:21:31 06/06/2013 and reports: hello
[2013-06-06 11:21:31,770]	Job GroupOfTestJob2.TestJob2 fired (by trigger GroupOfTestJob2Triggers.TestSimpleTrigger2AtTenSecondIntervalAndFiveRepeats) at:  11:21:31 06/06/2013
[2013-06-06 11:21:31,771]	Executing job: GroupOfTestJob2.TestJob2 executing at Thu Jun 06 11:21:31 CST 2013, fired by: GroupOfTestJob2Triggers.TestSimpleTrigger2AtTenSecondIntervalAndFiveRepeats
[2013-06-06 11:21:31,771]	 - jobDataMap entry: someKey = someValue
[2013-06-06 11:21:31,771]	 - jobDataMap entry: someOtherKey = someOtherValue
[2013-06-06 11:21:31,771]	Job GroupOfTestJob2.TestJob2 execution complete at  11:21:31 06/06/2013 and reports: hello
[2013-06-06 11:21:36,668]	Job DEFAULT.TestJob1 fired (by trigger DEFAULT.TestSimpleTrigger1AtFiveSecondInterval) at:  11:21:36 06/06/2013
[2013-06-06 11:21:36,669]	Executing job: DEFAULT.TestJob1 executing at Thu Jun 06 11:21:36 CST 2013, fired by: DEFAULT.TestSimpleTrigger1AtFiveSecondInterval
[2013-06-06 11:21:36,669]	Job DEFAULT.TestJob1 execution complete at  11:21:36 06/06/2013 and reports: hello
[2013-06-06 11:21:41,667]	Job DEFAULT.TestJob1 fired (by trigger DEFAULT.TestSimpleTrigger1AtFiveSecondInterval) at:  11:21:41 06/06/2013
[2013-06-06 11:21:41,668]	Executing job: DEFAULT.TestJob1 executing at Thu Jun 06 11:21:41 CST 2013, fired by: DEFAULT.TestSimpleTrigger1AtFiveSecondInterval
[2013-06-06 11:21:41,668]	Job DEFAULT.TestJob1 execution complete at  11:21:41 06/06/2013 and reports: hello
[2013-06-06 11:21:46,667]	Job DEFAULT.TestJob1 fired (by trigger DEFAULT.TestSimpleTrigger1AtFiveSecondInterval) at:  11:21:46 06/06/2013
[2013-06-06 11:21:46,668]	Executing job: DEFAULT.TestJob1 executing at Thu Jun 06 11:21:46 CST 2013, fired by: DEFAULT.TestSimpleTrigger1AtFiveSecondInterval
[2013-06-06 11:21:46,668]	Job DEFAULT.TestJob1 execution complete at  11:21:46 06/06/2013 and reports: hello
[2013-06-06 11:21:51,668]	Job DEFAULT.TestJob1 fired (by trigger DEFAULT.TestSimpleTrigger1AtFiveSecondInterval) at:  11:21:51 06/06/2013
[2013-06-06 11:21:51,669]	Executing job: DEFAULT.TestJob1 executing at Thu Jun 06 11:21:51 CST 2013, fired by: DEFAULT.TestSimpleTrigger1AtFiveSecondInterval
[2013-06-06 11:21:51,669]	Job DEFAULT.TestJob1 execution complete at  11:21:51 06/06/2013 and reports: hello
[2013-06-06 11:21:56,667]	Job DEFAULT.TestJob1 fired (by trigger DEFAULT.TestSimpleTrigger1AtFiveSecondInterval) at:  11:21:56 06/06/2013
[2013-06-06 11:21:56,668]	Executing job: DEFAULT.TestJob1 executing at Thu Jun 06 11:21:56 CST 2013, fired by: DEFAULT.TestSimpleTrigger1AtFiveSecondInterval
[2013-06-06 11:21:56,668]	Job DEFAULT.TestJob1 execution complete at  11:21:56 06/06/2013 and reports: hello
[2013-06-06 11:22:00,003]	Job GroupOfTestJob2.TestJob2 fired (by trigger GroupOfTestJob2Triggers.TestCronTrigger2AtEveryMinute) at:  11:22:00 06/06/2013
[2013-06-06 11:22:00,003]	Executing job: GroupOfTestJob2.TestJob2 executing at Thu Jun 06 11:22:00 CST 2013, fired by: GroupOfTestJob2Triggers.TestCronTrigger2AtEveryMinute
[2013-06-06 11:22:00,003]	 - jobDataMap entry: someKey = overriddenValue
[2013-06-06 11:22:00,004]	 - jobDataMap entry: someOtherKey = someOtherOverriddenValue
[2013-06-06 11:22:00,004]	Job GroupOfTestJob2.TestJob2 execution complete at  11:22:00 06/06/2013 and reports: hello
[2013-06-06 11:22:01,668]	Job DEFAULT.TestJob1 fired (by trigger DEFAULT.TestSimpleTrigger1AtFiveSecondInterval) at:  11:22:01 06/06/2013
[2013-06-06 11:22:01,669]	Executing job: DEFAULT.TestJob1 executing at Thu Jun 06 11:22:01 CST 2013, fired by: DEFAULT.TestSimpleTrigger1AtFiveSecondInterval
[2013-06-06 11:22:01,669]	Job DEFAULT.TestJob1 execution complete at  11:22:01 06/06/2013 and reports: hello
[2013-06-06 11:22:06,667]	Job DEFAULT.TestJob1 fired (by trigger DEFAULT.TestSimpleTrigger1AtFiveSecondInterval) at:  11:22:06 06/06/2013
[2013-06-06 11:22:06,668]	Executing job: DEFAULT.TestJob1 executing at Thu Jun 06 11:22:06 CST 2013, fired by: DEFAULT.TestSimpleTrigger1AtFiveSecondInterval
[2013-06-06 11:22:06,668]	Job DEFAULT.TestJob1 execution complete at  11:22:06 06/06/2013 and reports: hello
[2013-06-06 11:22:11,668]	Job DEFAULT.TestJob1 fired (by trigger DEFAULT.TestSimpleTrigger1AtFiveSecondInterval) at:  11:22:11 06/06/2013
[2013-06-06 11:22:11,669]	Executing job: DEFAULT.TestJob1 executing at Thu Jun 06 11:22:11 CST 2013, fired by: DEFAULT.TestSimpleTrigger1AtFiveSecondInterval
[2013-06-06 11:22:11,669]	Job DEFAULT.TestJob1 execution complete at  11:22:11 06/06/2013 and reports: hello
[2013-06-06 11:22:16,667]	Job DEFAULT.TestJob1 fired (by trigger DEFAULT.TestSimpleTrigger1AtFiveSecondInterval) at:  11:22:16 06/06/2013
[2013-06-06 11:22:16,668]	Executing job: DEFAULT.TestJob1 executing at Thu Jun 06 11:22:16 CST 2013, fired by: DEFAULT.TestSimpleTrigger1AtFiveSecondInterval
[2013-06-06 11:22:16,668]	Job DEFAULT.TestJob1 execution complete at  11:22:16 06/06/2013 and reports: hello
[2013-06-06 11:22:21,667]	Job DEFAULT.TestJob1 fired (by trigger DEFAULT.TestSimpleTrigger1AtFiveSecondInterval) at:  11:22:21 06/06/2013
[2013-06-06 11:22:21,668]	Executing job: DEFAULT.TestJob1 executing at Thu Jun 06 11:22:21 CST 2013, fired by: DEFAULT.TestSimpleTrigger1AtFiveSecondInterval
[2013-06-06 11:22:21,668]	Job DEFAULT.TestJob1 execution complete at  11:22:21 06/06/2013 and reports: hello
[2013-06-06 11:22:26,668]	Job DEFAULT.TestJob1 fired (by trigger DEFAULT.TestSimpleTrigger1AtFiveSecondInterval) at:  11:22:26 06/06/2013
[2013-06-06 11:22:26,669]	Executing job: DEFAULT.TestJob1 executing at Thu Jun 06 11:22:26 CST 2013, fired by: DEFAULT.TestSimpleTrigger1AtFiveSecondInterval
[2013-06-06 11:22:26,669]	Job DEFAULT.TestJob1 execution complete at  11:22:26 06/06/2013 and reports: hello
[2013-06-06 11:22:31,667]	Job DEFAULT.TestJob1 fired (by trigger DEFAULT.TestSimpleTrigger1AtFiveSecondInterval) at:  11:22:31 06/06/2013
[2013-06-06 11:22:31,668]	Executing job: DEFAULT.TestJob1 executing at Thu Jun 06 11:22:31 CST 2013, fired by: DEFAULT.TestSimpleTrigger1AtFiveSecondInterval
[2013-06-06 11:22:31,668]	Job DEFAULT.TestJob1 execution complete at  11:22:31 06/06/2013 and reports: hello
[2013-06-06 11:22:36,667]	Job DEFAULT.TestJob1 fired (by trigger DEFAULT.TestSimpleTrigger1AtFiveSecondInterval) at:  11:22:36 06/06/2013
[2013-06-06 11:22:36,668]	Executing job: DEFAULT.TestJob1 executing at Thu Jun 06 11:22:36 CST 2013, fired by: DEFAULT.TestSimpleTrigger1AtFiveSecondInterval
[2013-06-06 11:22:36,668]	Job DEFAULT.TestJob1 execution complete at  11:22:36 06/06/2013 and reports: hello
